epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,36629.6,1.64869,0.81504,1.08505,0.73766,0.67946,0.69466,0.28353,1.86276,0.86987,1.15399,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37043.7,1.65371,0.81871,1.07596,0.7385,0.6796,0.69278,0.28505,1.86305,0.8691,1.15365,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,37463.1,1.64081,0.8138,1.08018,0.73977,0.68131,0.69467,0.28444,1.86191,0.86686,1.15403,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,37831.3,1.60612,0.77352,1.11533,0.74776,0.66314,0.67887,0.28428,1.86226,0.86559,1.15452,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38202.9,1.58958,0.75108,1.11454,0.74909,0.66769,0.67941,0.28572,1.86275,0.86434,1.15491,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,38574.9,1.56089,0.73842,1.09917,0.74877,0.67059,0.68155,0.28796,1.86274,0.86349,1.15506,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,38945.5,1.55177,0.73044,1.09514,0.74971,0.67134,0.68517,0.28897,1.86332,0.86246,1.15591,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,39315,1.54223,0.72101,1.093,0.72618,0.65072,0.66529,0.28534,1.86424,0.86064,1.1558,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,39686.4,1.54047,0.72078,1.08614,0.72687,0.65016,0.66519,0.28524,1.86464,0.86025,1.15612,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,40060.6,1.538,0.72114,1.08844,0.7276,0.64963,0.66674,0.28722,1.86493,0.86015,1.15599,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,40440.4,1.52441,0.71103,1.08219,0.74417,0.66252,0.67933,0.2882,1.8651,0.85927,1.15619,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,40812.6,1.51981,0.70287,1.07834,0.74205,0.66392,0.67975,0.28702,1.86576,0.85898,1.15686,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,41183.9,1.50095,0.6941,1.076,0.74253,0.6647,0.68102,0.28664,1.86584,0.85827,1.15734,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
